Nom;ID;Utilisateur;Groupe;Durée de garantie; Date de mise en service;Type d'élément;Système d'exploitation;Applications
PFX-DEV-004;33;Baron Javier;GG_Developpeurs;48 mois;08/01/2019;PC fixe;Ubuntu;Kontrast
PFX-DEV-005;34;de Buisson Paul Poirier;GG_Developpeurs;48 mois;24/04/2023;PC fixe;Ubuntu;Kontrast
PPB-DEV-001;35;Arcouet Vick;GG_Developpeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-DEV-002;36;Gamelin Hariette;GG_Developpeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-DEV-003;37;Aupry Byron;GG_Developpeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-DEV-004;38;Navarro Elise;GG_Developpeurs;48 mois;24/04/2023;PC portable;Windows 10;Colour Contrast Analiser
client-windows;54; Utilisateurs AD;;48 mois;;Ordinateur;Windows 10;Colour Contrast Analiser
client-ubuntu;56; Utilisateurs AD;;48 mois;;Ordinateur;Ubuntu;Kontrast
Serveur-AD;57; Administrateurs;;48 mois;;Ordinateur;Windows Server 2019;
Portable-Windows;58;Utilisateurs AD;;48 mois;;Ordinateur;Windows 10;Colour Contrast Analiser
BOX-SIT-001;1; Administrateurs;;50 mois;17/02/2019;Matériel réseau;;
SWS-SIT-001;2; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Cisco IOS;
SWS-ADM-001;3; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Cisco IOS;
SWS-DEV-001;4; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Cisco IOS;
SWS-GPH-001;5; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Cisco IOS;
SWS-TST-001;6; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Cisco IOS;
FWL-SIT-001;7; Administrateurs;;50 mois;17/02/2019;Matériel réseau;Pfsense;
SRV-INF-001;8; Administrateurs;;50 mois;17/02/2019;Matériel réseau SRV;Windows Server 2019;
SRV-INF-002;9; Administrateurs;;50 mois;21/09/2017;Matériel réseau SRV;Windows Server 2019;
SPA-TST-001;1;Hervé Isabelle;GG_Testeurs;24 mois;24/04/2023;Téléphone;Smartphone Android;
SPI-TST-001;2;Ruiz René Daniel;GG_Testeurs;24 mois;24/04/2023;Téléphone;Smartphone Android;
SPA-DEV-001;3;Champagne Jeannine;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Android;
SPA-DEV-002;4;Baron Javier;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Android;
SPA-DEV-003;5;Arcouet Vick;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Android;
SPA-DEV-004;6;Navarro Elise;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Android;
SPI-DEV-001;7;Monjeau Martine;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Iphone;
SPI-DEV-002;8;Gamelin Hariette;GG_Developpeurs;24 mois;04/01/2023;Téléphone;Smartphone Iphone;
